Facility_Name,Reg_No,Address,Facility_Type_RAW,Facility_Type,Level,Bed_Capacity,County
SENATE HEALTH SERVICES,2372,P.O BOX 547-00516 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SENGERA MISSION HEALTH CENTRE,3160,P.O BOX 433-40200 KISII,FAITH-BASED COMPREHENSIVE CENTRE,FAITH BASED,LEVEL 3A,40,KISII
SENYE MEDICAL CLINIC,2611,P.O BOX 48452-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SERENA LODGES & HOTELS STAFF CLINIC - AMBOSELI,1667,P.O BOX 48690-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAJIADO
SERENITY(ATARAXIS) MEDICAL CLINIC,18128,P.O BOX 80-20313 RURII,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MURANG'A
SERERIT CATHOLIC DISPENSARY,1730,P.O BOX 11-20601 BARAGOI,DISPENSARY,DISPENSARY,LEVEL 2,0,SAMBURU
SETH MEDICAL CLINIC,6218,P.O BOX 880-00902 KIKUYU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
SEVANI MEDICAL CLINIC,4334,P.O BOX 96370-80100 MOMBASA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MOMBASA
SHA-AFIYA MEDICAL CENTRE,18063,P.O BOX 508-80113 MARIAKANI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,KILIFI
SHACHA MEDICAL CLINIC,16603,P.O BOX 36-30500 LODWAR,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TURKANA
SHACHIF HEALTH UNIT- SOUTH MBEERE,2028,P.O BOX 1451-60100 EMBU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHACOLAS MEDICAL CENTRE,2091,P.O BOX 1497-00902 KIKUYU,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,KIAMBU
SHADAPHA MEDICAL CENTRE,16074,P.O BOX 466-50100 KAKAMEGA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
SHAFIN MEDICARE LIMITED,15274,P.O BOX 318-70200 WAJIR,NURSING HOME,NURSING HOME,LEVEL 3B,30,WAJIR
SHALBY MEDICAL CLINIC,2150,P.O BOX 38482-00623 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHALLON MEDICAL CLINIC,1939,P.O BOX 27126-00100 Nairobi,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHALOM COMMUNITY HOSPITAL-MITABONI SATELITE,3230,P.O BOX 1513-90100 MACHAKOS,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
SHALOM HOSPITAL,477,P.O BOX 1513-90100 MACHAKOS,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,250,MACHAKOS
SHALOM JOYCARE CLINIX LTD,17545,P.O BOX 3046-01002 MAKONGENI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
SHALOM MEDICAL CLINIC LODWAR,16278,P.O BOX 230-30500 LODWAR,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TURKANA
SHALOM MEDICAL CLINIC MARAGOLI,4463,P.O BOX 158-50310 VIHIGA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,VIHIGA
SHALOM MEDICAL CLINIC-MANGU (NAKURU),3623,P.O BOX 20624-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
SHALOM RERU CLINIC,4441,P.O BOX 227-40102 KOMBEWA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,6,KISUMU
SHALOME MEDICAL CENTRE,1762,P.O BOX 68458-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
SHAM MEDICAL SKIN CLINIC & LABORATORY,1046,P.O BOX 70590-00400 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHAMAAL HOSPITAL,15671,P.O BOX 544-70300 MANDERA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,40,MANDERA
SHAMAKHOKHO NEEMA MEDICAL CENTRE,13320,P.O BOX 2457-20100 NAKURU,NURSING HOME,NURSING HOME,LEVEL 3B,15,VIHIGA
SHAMATA COMMUNITY MEDICAL CENTRE,17431,P.O BOX 76917-00620 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
SHAMMAH MEDICAL CENTRE,16470,P.O BOX 324-50100 KAKAMEGA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
SHAMMAH MEDICAL CLINIC,3043,P.O BOX 425-001001 KALIMONI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
SHAMMAH NURSING HOME LIMITED,15730,P.O BOX 254- 10303 WANGURU,NURSING HOME,NURSING HOME,LEVEL 3B,42,KIRINYAGA
SHAMONE UZIMA CLINIC AND PHARMACY,3602,P.O BOX 101-20103 ELDAMA RAVINE,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BARINGO
SHAMSU HEALTHCARE LTD,3674,P.O BOX 77-70105 MSALANI,NURSING HOME,NURSING HOME,LEVEL 3B,15,GARISSA
SHANWES MED CARE,15306,P.O BOX 2558-60100 EMBU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,EMBU
SHARMARKE DENTAL CLINIC,17005,P.O BOX 79298-00200 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SHASYT ANNEX HEALTH CARE,7497,P.O BOX 86-20500 NAROK,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAROK
SHAURI MOYO DISPENSARY,GK-008910,P.O BOX 30108-00100 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,NAIROBI
SHEBA MEDICAL CENTRE LTD,17417,P.O BOX 67462-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHEBEC MEDICAL CLINIC LIMITED,17904,P.O BOX 8262-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHEIKH NUREIN MEDICAL CENTRE,258,P.O BOX 85039-80100 MOMBASA,DISPENSARY,DISPENSARY,LEVEL 2,0,MOMBASA
SHEKINAH GLORY COMMUNITY NURSING HOME,6259,P.O BOX 30200-2691 KITALE,NURSING HOME,NURSING HOME,LEVEL 3B,10,TRANS NZOIA
SHELLY BEACH HOSPITAL,12268,P.O BOX 99812-80107 KILINDINI,COTTAGE HOSPITAL,COTTAGE HOSPITAL,LEVEL 3B,15,MOMBASA
SHELTER OF HOPE MEDICAL CLINIC,4113,P.O BOX 927700-00200 HOMABAY,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,HOMA BAY
SHEPHER LIFECARE MEDICAL CENTER,16167,P.O BOX 492-40118 RONGO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISUMU
SHEPHERDS HOSPITAL LIMITED,17927,P.O BOX 186-20500 NAROK,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,50,NAROK
SHEPHERDS HOSPITAL LIMITED- KAKUMA MEDICAL CENTRE,16151,P.O BOX 186-20500 KAKUMA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TURKANA
SHEPHERDS HOSPITAL LODWAR MEDICAL CENTRE,15062,P.O BOX 184-20500 NAROK,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,TURKANA
SHEPHERDS HOSPITAL MAUA MEDICAL CENTRE,14644,P.O BOX 186-20500 NAROK,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
SHEPHERDS HOSPITAL NAROK MEDICAL CENTRE,14636,P.O BOX 186-20500 NAROK,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAROK
SHEPHERDS MEDICAL CENTER EMBAKSAI,17045,P.O BOX 186-20500 NAROK,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
SHEYWE COMMUNITY HOSPITAL LTD,17097,P.O BOX 221-50104 KHAYEGA,NURSING HOME,NURSING HOME,LEVEL 3B,65,KAKAMEGA
SHIBALE MEDICAL CENTRE,15828,P.O BOX 644-50102 MUMIAS,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,30,KAKAMEGA
SHIDODO HEALTH CENTRE,17905,P.O BOX 157-50300 MARAGOLI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
SHIFAA NURSING HOME,3286,P.O BOX 423-70103 GARISSA,NURSING HOME,NURSING HOME,LEVEL 3B,20,GARISSA
SHIHULI MEDICAL CLINIC,15749,P.O BOX 648-50104 KHAYEGA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
SHIKAMOO MEDICARE CENTRE,1547,P.O BOX 424-00232 RUIRU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
SHILOH EYE ASSOCIATES LIMITED,14658,P.O BOX 1862-80100 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MOMBASA
SHINE DENTAL CINIC MAKADARA,3337,P.O BOX 467-00507 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SHINE VIEW DENTAL CLINIC CBD,4086,P.O BOX 763-00219 KARURI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SHINING HOPE FOR COMMUNITY JOHANNA JINICH CLINIC,2290,P.O BOX 8303-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHINNING HOPE FOR COMMUNITIES MATHARE CLINIC,5422,P.O BOX 8303-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHINYALU HEALTHCARE LTD,15100,P.O BOX 305-50103 MALAVA,NURSING HOME,NURSING HOME,LEVEL 3B,63,KAKAMEGA
SHIRIKISHO DISPENSARY OYUGIS,433,P.O BOX 355-40222 OYUGIS,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,8,HOMA BAY
SHIRIKISHO WOMEN METHODIST DISPENSARY,7169,P.O BOX 59- GARSEN,DISPENSARY,DISPENSARY,LEVEL 2,0,TANA RIVER
SHISEJERI MEDICAL CLINIC,17360,P.O BOX 262-50300 MARAGOLI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
SHOT PEAK HOPE MEDICAL CLINIC,16441,P.O BOX 2337-20117 NAIVASHA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
SHREE CUTCHI LEVA PATEL SAMAJ MEDICAL CLINIC,581,P.O BOX 47459-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SHREE SWAMINARAYAN HOSPITAL,14721,P.O BOX 15977-00509 NAIROBI,COTTAGE HOSPITAL,COTTAGE HOSPITAL,LEVEL 3B,20,NAIROBI
SHRIMATI KANTA BHASIN - ARYA SAMAJ CLINIC,1351,P.O BOX 40243-00100 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,NAIROBI
SIAKAGO DON BOSCO CATHOLIC DISPENSARY,1656,P.O BOX 79-60104 SIAKAGO,DISPENSARY,DISPENSARY,LEVEL 2,0,EMBU
SIAKAGO HEALTH CARE CLINIC,15142,P.O BOX 182-60104 SIAKAGO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,EMBU
SIANA COMMUNITY HOSPITAL,14475,P.O BOX 505-00204 ATHI RIVER,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,16,KAJIADO
SIAYA HOSPICE AND PALLIATIVE CARE,16413,P.O BOX 144-40600 SIAYA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,SIAYA
SIAYA MEDICAL CENTRE,1112,P.O BOX 1120-40600 SIAYA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,120,SIAYA
SIDAI BAARE CLINIC,17924,P.O BOX 425-20500 NAROK,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,NAROK
SIDAI MEDICAL CLINIC,15250,P.O BOX 64-20152 OLENGURUONE,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAROK
SIERRA FLORA CLINIC,15528,P.O BOX 3622-20100 NAKURU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
SIFA - DENT DENTAL CENTRE,16270,P.O BOX 51913-00200 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SIGMA MEDICAL CENTRE KIANYAGA,15373,P.O BOX 71-10301 KIANYAGA,NURSING HOME,NURSING HOME,LEVEL 3B,50,KIRINYAGA
SIHA MEDICAL CENTRE,7105,P.O BOX 25-80109 MTWAPA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KILIFI
SIHA MEDICAL HOME LIMITED,6102,P.O BOX 59-70101 HOLA,NURSING HOME,NURSING HOME,LEVEL 3B,30,TANA RIVER
SIHA MEDICAL HOME LIMITED MPEKETONI,15492,P.O BOX 59-70101 MPEKETONI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,55,LAMU
SIKH TEMPLE MAKINDU HOSPITAL,392,P.O BOX 43-10938 MAKINDU,NURSING HOME,NURSING HOME,LEVEL 3B,15,MAKUENI
SIKHENDU MEDICAL CLINIC,6731,P.O BOX 282-30209 KIMININI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TRANS NZOIA
SIKOTIA MEDICAL CENTER,15859,P.O BOX 162-50203 KAPSOKWONY,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,18,BUNGOMA
SILANGA DISPENSARY,GK-008915,P.O BOX 30108-00100 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,NAIROBI
SILENT HILL MEDICAL CLINIC,15184,P.O BOX 69-10106 OTHAYA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SILJOS MEDICARE CLINIC,16761,P.O BOX 2592-30100 ELDORET,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
SILOA MEDICAL CENTRE,1565,P.O BOX 51608-00200 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,15,KIAMBU
SILOAM HOSPITAL,14652,P.O BOX 2181-20200 KERICHO,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,110,KERICHO
SILOAM HOSPITAL LTD BOMET,8761,P.O BOX 2181-20200 KERICHO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BOMET
SILOAM MEDICAL CLINIC,16968,P.O BOX 2974-30200 KITALE,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,8,TRANS NZOIA
SILOAM OUTREACH CLINIC,1740,P.O BOX 450-00206 KISERIAN,NURSING HOME,NURSING HOME,LEVEL 3B,10,KAJIADO
SILVER DENTAL AND MEDICAL CENTRE,7163,P.O BOX 161-00221 MATATHIA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
SILVER OAK HOSPITAL LIMITED,17361,P.O BOX 204-10300 KERUGOYA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIRINYAGA
SILVER-LINE DENTAL CLINIC,15096,P.O BOX 6156-00100 EASTLEIGH,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SILVERKID UTAWALA HEALTH CARE,16631,P.O BOX 517-90131 TALA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
SILVERPOINT DENTAL CLINIC,14465,P.O BOX 45-40600 SIAYA,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,SIAYA
SIMAHO MCH/FP HEALTH CENTRE,646,P.O BOX 545-70100 GARISSA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,14,GARISSA
SIMBA CLINIC,4154,P.O BOX 782-60300 ISIOLO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,ISIOLO
SIMBI ROSES MEDICAL STAFF CLINIC,1892,P.O BOX 769-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
SIMBIRI NAN BELL COMMUNITY HEALTH CENTRE,82,P.O BOX 26-40332 KOSELE,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,HOMA BAY
SIMHEALTHCARE,14469,P.O BOX 7230-20100 NAKURU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAKURU
SIMOTWEI DISPENSARY,2242,P.O BOX 141-20200 KERICHO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KERICHO
SIMRAN MEDICAL CENTER,18056,P.O BOX 85-70303 MANDERA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MANDERA
SIMS WOMEN HEALTH SERVICES LTD,7360,P.O BOX 28145-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
SINAI HOSPITAL RONGAI LTD,4313,P.O BOX 36653-00200 NAIROBI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,40,KAJIADO
SINAIA MEDICAL CLINIC,14307,P.O BOX 402-20106 MOLO,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,18,NAKURU
SINGAWA MEDICAL CENTRE,1702,P.O BOX 96375-80100 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,6,MOMBASA
SIPILI CATHOLIC DISPENSARY,468,P.O BOX 9-20326 SIPILI,DISPENSARY,DISPENSARY,LEVEL 2,0,LAIKIPIA
SIPILI HOSPITAL,16861,P.O BOX 207-20320 KINAMBA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,LAIKIPIA
SIPILI MATERNITY AND NURSING HOME,2022,P.O BOX 106-20320 KINAMBA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,40,LAIKIPIA
SIPILI MATERNITY AND NURSING HOME ANNEX,4459,P.O BOX 106-20320 KINAMBA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,40,LAIKIPIA
SIRENDE MEDICAL CLINIC KITALE,6214,P.O BOX 4200-30200 KLITALE,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TRANS NZOIA
SIRIBA NURSING HOME,16128,P.O BOX 12-70201 HABASWEIN,NURSING HOME,NURSING HOME,LEVEL 3B,20,WAJIR
SIRONOI S.D.A DISPENSARY,1218,P.O BOX 14-30300 KAPSABET,DISPENSARY,DISPENSARY,LEVEL 2,0,NANDI
SISI KWA SISI MEDICAL CENTRE,428,P.O BOX 11-90103 WAMUNYU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
SISMEXY DIAGNOSTIC AND MEDICAL CENTRE,16088,P.O BOX 414- KEROKA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,15,KISII
SISTER FREDAS MEDICAL CENTRE,1329,P.O BOX 696-30200 KITALE,MATERNITY HOME,MATERNITY HOME,LEVEL 3B,25,TRANS NZOIA
SISTERS OF ST JOSEPH LUNGA LUNGA DISPENSARY,6944,P.O BOX 92-80402 LUNGA LUNGA,DISPENSARY,DISPENSARY,LEVEL 2,0,KWALE
SISTERS OF ST. JOSEPH DISPENSARY MAUNGU,15415,P.O BOX 286-80300 VOI,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,TAITA TAVETA
SISTERS OF ST. JOSEPH DISPENSARY MIVUMONI,1903,P.O BOX 24-80407 SHIMBA HILLS,DISPENSARY,DISPENSARY,LEVEL 2,0,KWALE
SISTO MAZZOLDI DISPENSARY AND MATERNITY,858,P.O BOX 388-20108 NAKURU,FAITH BASED LEVEL 4 HOSPITAL,FAITH BASED,LEVEL 4,45,NAKURU
SIWANDHE MEDICAL CLINIC,3409,P.O BOX 831-40600 SIAYA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,SIAYA
SIXWEST MEDICAL AND DENTAL CLINIC LIMITED,17652,P.O BOX 28661-00200 ELDORET,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,UASIN GISHU
SKANS MEDICARE LTD,1789,P.O BOX 98790-80100 MOMBASA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,MOMBASA
SKOVIC HEALTH CARE SERVICES,17909,P.O BOX 83-50203 KAPSOKWONY,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,BUNGOMA
SKY CLINICAL SERVICES,2785,P.O BOX 3370-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SKY MEDICAL CENTER,4337,P.O BOX 15600-00503 LAIKIPIA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,LAIKIPIA
SKYCARE MEDICAL CLINIC,7266,P.O BOX 16877-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
SKYE DENTAL LIMITED,2553,P.O BOX 52789-00514 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SKYLINE DENTAL AND MAXILLOFACIAL CENTRE,15797,P.O BOX 18882-00100 NAIROBI,DENTAL CENTRE,DENTAL CENTRE,LEVEL 3A,0,NAIROBI
SKYLINE DENTAL AND MAXILLOFACIAL CENTRE-MURANG\'A,17806,P.O BOX 18882-00100 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,MURANG'A
SMART DENTAL CARE CLINIC,15680,P.O BOX 73811-00200 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SMART HEALTHCARE MAAI MAHIU,10045,P.O BOX 622-20117 NAIVASHA,NURSING HOME,NURSING HOME,LEVEL 3B,15,NAKURU
SMART JAMII CLINIC,16149,P.O BOX 97922-80112 MOMBASA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MOMBASA
SMARTMAJ KENYA LIMITED (SKL MEDICAL CENTRE),15522,P.O BOX 282-00202 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,16,KAJIADO
SMARTSMILE DENTAL CARE CLINICS (K),3317,P.O BOX 13586-00400 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SMILE AFRICA,15659,P.O BOX 1195-00606 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
SMILE BARAKA DENTAL CLINIC MITUNGUU,5728,P.O BOX 736-60202 NKUBU,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,MERU
SMILE BARAKA DENTAL CLINIC NKUBU,2628,P.O BOX 736-60202 NKUBU,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,MERU
SMILE ESSENCE DENTAL CENTRE LTD HURLINGHAM,16670,P.O BOX 19975-00202 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SMILE EXPERTS DENTAL CLINIC,3796,P.O BOX 53703-00200 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SMILE LINK,6448,P.O BOX 81925-80100 MOMBASA,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,MOMBASA
SMILE STUDIO DENTAL CLINIC,4100,P.O BOX 104364-00101 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SMILE WITH CONFIDENCE DENTAL COTTAGE,3974,P.O BOX 43977-00100 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,KAJIADO
SMILEDENT DENTAL CENTRE,18075,P.O BOX 963-20100 NAKURU,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAKURU
SMILES MEDICAL CLINIC,13958,P.O BOX 932-00610 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SMILES ORAL HEALTH CONSULTANTS,3706,P.O BOX 7488-01000 THIKA,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SMILES SOLUTIONS LIMITED,17012,P.O BOX 51727-00100 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SMILESTAR DENTAL AND HEALTH CARE SERVICES,3028,P.O BOX 805-00232 RUIRU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
SMILEZONE DENTISTRY,17119,P.O BOX 3009-00100 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
SOAL MEDICAL CENTRE,14293,P.O BOX 434-50102 MUMIAS,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,20,KAKAMEGA
SOCIAL SERVICE LEAGUE-MP SHAH HOSPITAL DINSHAW BRYAMJI DISPENSARY,15328,P.O BOX 14497-00800 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
SOFYA HEALTHCARE,4274,P.O BOX 172-90300 MAKUENI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MAKUENI
SOGLE NURSING HOME,15123,P.O BOX 338-70300 MANDERA,NURSING HOME,NURSING HOME,LEVEL 3B,25,MANDERA
SOHAN MEDICAL CENTRE,3925,P.O BOX 14914-00400 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
SOLAYA MEDICAL CENTRE,16597,P.O BOX 30199-00600 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,26,NAIROBI
SOLEA ANNEX MEDICAL MATERNITY,1387,P.O BOX 4826-01000 THIKA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,4,MURANG'A
SOLO MEDICAL CLINIC,15443,P.O BOX 95-20202 KIPKELION,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
SOLOLO CATHOLIC MISSION HOSPITAL,3164,P.O BOX 330-60701 MOYALE,NURSING HOME,NURSING HOME,LEVEL 3B,90,MARSABIT
